id,project_name,experiment_description,epoch,start_time,duration(s),power_consumption(kWh),CO2_emissions(kg),CPU_name,GPU_name,OS,region/country,cost
8eb755b1-eb54-483c-a4fd-b55945ffb491,Whole dataset Carbon,training <Whole dataset> model,,2024-01-11 16:51:23,2660.1963074207306,0.137958163032764,0.0543716573399838,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
acd0e2df-eb6e-497a-a7c2-da34da007937,Whole dataset Carbon,training <Whole dataset> model,,2024-01-11 17:34:32,50.19272494316101,0.0023365137552199,0.000920859791666,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
a73d65b6-04d8-4b26-8520-79aceab032b5,Whole dataset Carbon,training <Whole dataset> model,,2024-01-11 18:15:12,4220.194129943848,0.2338910694899539,0.0921804466341721,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
3f5b9427-d382-4fba-b361-b708a1c7fc4d,Whole dataset Carbon,training <Whole dataset> model,,2024-01-12 14:52:15,160.20727944374084,0.0086269345562077,0.0034000215664889,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
71a3ead4-cf41-4681-b6b9-b4ae51d12a31,Whole dataset Carbon,training <Whole dataset> model,,2024-01-12 14:58:59,3540.1927649974823,0.199603270613413,0.0786670422043464,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
bc3c3ffd-5648-4212-b026-4ed5ffb64d6e,Whole dataset Carbon,training <Whole dataset> model,,2024-01-12 16:49:02,40.19884419441223,0.0021673154993838,0.0008541758826706,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
446ef6c0-3513-4526-b0fa-77b50df32b0a,Whole dataset Carbon,training <Whole dataset> model,,2024-01-12 17:45:44,110.19422745704652,0.0033919446273427,0.0013368230406944,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
e162bbf4-13f8-462f-8a6a-b5714faf9b62,Whole dataset Carbon,training <Whole dataset> model,,2024-01-12 17:49:17,860.1810972690582,0.0281278282949051,0.0110856553041031,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
8e210910-0888-457f-b19e-9e88945e8804,Whole dataset Carbon,training <Whole dataset> model,,2024-01-12 18:38:30,240.1884315013885,0.0085045027554332,0.003351769112463,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
e95f90a3-36b9-4c15-bbbe-0a6242a4d06c,Whole dataset Carbon,training <Whole dataset> model,,2024-01-12 18:57:24,60.17234778404236,0.0043692793986443,0.0017220072887555,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
